Product Name,Quantity,Unit,Category,Low Stock Threshold,Description
"Organic Apples",250,pieces,Fruits,50,"Fresh organic apples from local farms"
"Whole Milk",48,liters,Dairy,12,"Fresh whole milk, 3.25% fat"
"Ground Beef",75,pounds,Meat,20,"85% lean ground beef"
"White Bread",32,loaves,Bakery,8,"Fresh baked white bread loaves"
"Bananas",180,pieces,Fruits,30,"Yellow bananas, perfect for snacking"
"Cheddar Cheese",25,blocks,Dairy,5,"Sharp cheddar cheese blocks"
"Chicken Breast",65,pounds,Meat,15,"Boneless skinless chicken breast"
"Tomatoes",120,pieces,Vegetables,25,"Fresh Roma tomatoes"
"Orange Juice",36,bottles,Beverages,10,"100% pure orange juice"
"Pasta",80,packages,Dry Goods,20,"Whole grain spaghetti pasta"
"Lettuce",45,heads,Vegetables,10,"Fresh iceberg lettuce heads"
"Yogurt",96,cups,Dairy,24,"Greek yogurt, vanilla flavor"
"Rice",40,bags,Dry Goods,8,"Long grain white rice, 5lb bags"
"Olive Oil",18,bottles,Cooking,5,"Extra virgin olive oil"
"Carrots",85,pounds,Vegetables,20,"Fresh carrots, 2lb bags" 